PLOT,FIRST_PLTCN,FIRST_INVYR,PUB_LAT,PUB_LONG,COUNTYCD,N_CYCLES,BIOM_1997_Mgha,BIOM_1998_Mgha,BIOM_1999_Mgha,BIOM_2000_Mgha,BIOM_2001_Mgha,BIOM_2002_Mgha,BIOM_2003_Mgha,BIOM_2004_Mgha,BIOM_2005_Mgha,BIOM_2006_Mgha,BIOM_2007_Mgha,BIOM_2008_Mgha,BIOM_2009_Mgha,BIOM_2010_Mgha,BIOM_2011_Mgha,BIOM_2012_Mgha,BIOM_2013_Mgha,BIOM_2014_Mgha,BIOM_2015_Mgha,BIOM_2016_Mgha,BIOM_2017_Mgha,BIOM_2018_Mgha,BIOM_2019_Mgha,BIOM_2020_Mgha,BIOM_2021_Mgha,BIOM_2022_Mgha,BIOM_2023_Mgha,BIOM_2024_Mgha
36,216090615010854,1997,34.86452,-83.635103,241,2,203.783,233.971,,,,,,,,,,,,,,,,,,,,,,,,,,
37,216090819010854,1997,34.936904,-83.709813,281,2,142.589,,,,153.689,,,,,,,,,,,,,,,,,,,,,,,
38,216090862010854,1997,34.670699,-84.045248,291,2,306.817,,,,,324.456,,,,,,,,,,,,,,,,,,,,,,
39,216090863010854,1997,34.874042,-83.883218,291,2,46.029,53.457,,,,,,,,,,,,,,,,,,,,,,,,,,
40,216090978010854,1997,34.511681,-83.814902,311,2,394.588,403.916,,,,,,,,,,,,,,,,,,,,,,,,,,
41,216090981010854,1997,34.523093,-83.695301,311,2,269.056,,,,,230.17,,,,,,,,,,,,,,,,,,,,,,
42,216091254010854,1997,34.651255,-84.215752,111,2,170.881,,,,169.91,,,,,,,,,,,,,,,,,,,,,,,
43,216091305010854,1997,33.326526,-83.828597,159,2,95.219,,,,146.092,,,,,,,,,,,,,,,,,,,,,,,
44,216091465010854,1997,34.795339,-83.849087,291,2,160.361,,,,157.119,,,,,,,,,,,,,,,,,,,,,,,
45,216091694010854,1997,34.725063,-84.617743,123,2,157.674,,,,187.601,,,,,,,,,,,,,,,,,,,,,,,
46,216091695010854,1997,34.713351,-84.594507,123,2,217.605,,,243.303,,,,,,,,,,,,,,,,,,,,,,,,
47,216091712010854,1997,33.628417,-83.226846,133,2,70.97,,,,,104.922,,,,,,,,,,,,,,,,,,,,,,
48,216091778010854,1997,34.595424,-84.172034,187,2,71.486,,86.769,,,,,,,,,,,,,,,,,,,,,,,,,
49,216091781010854,1997,31.330226,-81.45019,191,2,219.166,250.35,,,,,,,,,,,,,,,,,,,,,,,,,,
50,216091841010854,1997,34.831238,-83.582941,241,2,167.667,,,117.56,,,,,,,,,,,,,,,,,,,,,,,,
51,216091940010854,1997,34.744075,-83.756475,311,2,126.752,,129.349,,,,,,,,,,,,,,,,,,,,,,,,,
52,216092360010854,1997,34.851168,-83.743551,281,2,187.184,,201.095,,,,,,,,,,,,,,,,,,,,,,,,,
53,216092365010854,1997,34.839588,-83.961156,291,2,165.917,173.77,,,,,,,,,,,,,,,,,,,,,,,,,,
54,216092376010854,1997,30.941813,-82.434913,299,2,33.331,,131.001,,,,,,,,,,,,,,,,,,,,,,,,,
55,216092501010854,1997,30.746486,-82.132012,49,2,15.323,20.715,,,,,,,,,,,,,,,,,,,,,,,,,,
56,216092521010854,1997,33.948947,-84.569097,67,2,71.785,263.203,,,,,,,,,,,,,,,,,,,,,,,,,,
57,216092605010854,1997,34.171893,-85.110243,115,2,176.7,,,,,129.635,,,,,,,,,,,,,,,,,,,,,,
58,216092669010854,1997,33.137032,-83.600357,169,2,175.761,,183.649,,,,,,,,,,,,,,,,,,,,,,,,,
59,216092756010854,1997,34.990135,-83.516646,241,2,111.459,,112.687,,,,,,,,,,,,,,,,,,,,,,,,,
60,216092757010854,1997,34.949989,-83.363321,241,2,117.569,,,116.86,,,,,,,,,,,,,,,,,,,,,,,,
61,216092809010854,1997,34.90575,-83.720781,281,2,258.12,,,263.471,,,,,,,,,,,,,,,,,,,,,,,,
62,216092811010854,1997,34.959306,-83.575227,281,2,200.789,209.604,,,,,,,,,,,,,,,,,,,,,,,,,,
63,216092824010854,1997,34.753436,-84.079887,291,2,116.589,,,,141.485,,,,,,,,,,,,,,,,,,,,,,,
64,234986206010854,1997,34.687768,-84.152194,111,6,235.763,,236.729,,,,,,,,271.847,,,,,349.471,,,,,388.868,,,,,362.096,,
65,237633074010854,1997,30.58329,-82.21905,299,6,30.233,,81.124,,,,,,,,111.69,,,,,110.391,,,,,115.856,,,,,106.701,,
66,56566660010478,1997,32.570944,-83.818436,225,2,103.907,119.817,,,,,,,,,,,,,,,,,,,,,,,,,,
67,56567205010478,1997,34.526512,-84.633064,227,6,179.84,,,,,,,224.98,,,,,264.417,,,,,278.949,,,,,339.585,,,,,369.672
68,56567296010478,1997,34.515674,-84.442331,227,5,46.575,,,,55.457,,,,,77.491,,,,,80.474,,,,,,,,,,84.484,,,
69,56567386010478,1997,34.535435,-84.518132,227,5,29.634,,,,,51.298,,,,,64.866,,,,,,,,,,43.302,,,,,65.257,,
70,56567553010478,1997,34.405157,-84.508304,227,2,84.382,87.315,,,,,,,,,,,,,,,,,,,,,,,,,,
71,56567637010478,1997,34.382524,-84.503624,227,4,8.842,14.512,,,,,,,42.636,,,,,94.145,,,,,,,,,,,,,,
72,56567684010478,1997,34.468328,-84.412351,227,2,133.7,,144.631,,,,,,,,,,,,,,,,,,,,,,,,,
73,56568137010478,1997,34.475231,-84.40119,227,5,70.421,73.072,,,,,,,,,,,,,,,103.271,,,,,104.644,,,,,58.263,
74,56568254010478,1997,34.442104,-84.465247,227,6,63.266,89.25,,,,,,,,,107.112,,,,,124.076,,,,,135.918,,,,,135.549,,
75,56568312010478,1997,34.395359,-84.348436,227,5,165.295,,174.099,,,,,,202.468,,,,,202.201,,,,,,,,,,50.129,,,,
76,56568402010478,1997,34.420373,-84.329959,227,5,175.593,,,,,,,,,6.015,,,,,55.815,,,,,165.358,,,,,255.743,,,
77,56568516010478,1997,34.501602,-84.339412,227,6,123.234,,,,,,,159.476,,,,,180.428,,,,,186.084,,,,,214.653,,,,,231.789
78,56568634010478,1997,34.426493,-84.266389,227,2,66.23,,,,,70.411,,,,,,,,,,,,,,,,,,,,,,
79,56568692010478,1997,34.504638,-84.591088,227,6,424.396,,,422.369,,,,,438.004,,,,,450.107,,,,,490.788,,,,,569.649,,,,
80,56568797010478,1997,34.448326,-84.583258,227,6,152.448,161.528,,,,,,,,,203.527,,,,,180.386,,,,,208.579,,,,,258.722,,
81,56568916010478,1997,31.394121,-82.367179,229,5,159.965,,182.966,,,,,,,,,,,,179.647,,,,,179.374,,,,,202.613,,,
82,56569074010478,1997,31.383516,-82.182854,229,4,54.025,,,89.863,,,,,,,,,,174.174,,,,,216.312,,,,,,,,,
83,56569160010478,1997,31.312702,-82.291955,229,5,101.578,120.125,,,,,,,,,,,,,,,,106.155,,,,,140.663,,,,,180.101
84,56569305010478,1997,31.475066,-82.216779,229,5,249.567,285.206,,,,,,,,,,,,,42.121,,,,,55.128,,,,,69.655,,,
85,56569596010478,1997,31.23182,-82.227604,229,2,169.566,173.311,,,,,,,,,,,,,,,,,,,,,,,,,,
86,56569776010478,1997,31.45687,-82.146136,229,5,47.365,,,,,,133.54,,,,,172.42,,,,,227.63,,,,,245.279,,,,,,
87,56569952010478,1997,31.246309,-82.175766,229,4,51.731,,,,,,,140.05,,,,,158.914,,,,,,,,,,209.126,,,,,
88,56570066010478,1997,31.335857,-82.093068,229,5,83.028,,105.704,,,,,,,,,,,,81.152,,,,,117.928,,,,,161.614,,,
89,56570174010478,1997,31.290432,-82.087701,229,2,64.265,89.34,,,,,,,,,,,,,,,,,,,,,,,,,,
90,56570354010478,1997,31.408671,-82.105499,229,4,100.15,,,,,,,,,,,,19.073,,,,,84.559,,,,,146.733,,,,,
91,56570481010478,1997,31.44139,-82.085047,229,6,118.021,,,137.727,,,,,162.411,,,,,197.069,,,,,236.155,,,,,258.672,,,,
92,56570612010478,1997,31.281499,-82.072357,229,6,280.701,,286.915,,,,,,,,,314.917,,,,,331.665,,,,,329.459,,,,,354.93,
93,56570776010478,1997,31.290037,-82.002733,229,2,65.348,67.34,,,,,,,,,,,,,,,,,,,,,,,,,,
94,56571056010478,1997,31.23678,-82.274457,229,4,189.814,,,,166.829,,,,,192.404,,,,,,,,,,86.625,,,,,,,,
95,56571427010478,1997,33.115624,-84.51319,231,5,74.577,74.613,,,,,,,,,,,,,58.496,,,,,81.494,,,,,107.794,,,
96,56571497010478,1997,33.031617,-84.519818,231,4,55.923,,93.54,,,,,,,,156.608,,,,,,,,,,,,,,,47.56,,
97,56571601010478,1997,33.123625,-84.485958,231,5,134.94,,,,,172.935,,,,,,,,,,197.538,,,,,261.734,,,,,317.107,,
98,56571808010478,1997,33.050339,-84.415312,231,2,269.268,,286.085,,,,,,,,,,,,,,,,,,,,,,,,,
99,56571985010478,1997,33.114932,-84.285622,231,6,32.023,,,,,,70.521,,,,,95.78,,,,,123.99,,,,,153.261,,,,,169.564,
100,56572049010478,1997,33.169649,-84.349568,231,5,143.306,,,,,,,167.559,,,,,193.128,,,,,231.384,,,,,,,,,,207.404
101,56572270010478,1997,33.114985,-84.398293,231,4,121.856,,,,,,,,,183.132,,,,,204.493,,,,,204.246,,,,,,,,
102,56572362010478,1997,33.146639,-84.315394,231,5,133.601,,,,,97.99,,,,,127.2,,,,,151.587,,,,,,,,,,96.928,,
103,56572459010478,1997,33.107811,-84.385254,231,6,101.675,,,,135.338,,,,,156.199,,,,,176.661,,,,,194.861,,,,,210.998,,,
104,56572661010478,1997,33.000627,-84.322694,231,6,47.786,46.092,,,,,,,,,,47.952,,,,,56.497,,,,,67.967,,,,,73.46,
105,56572787010478,1997,33.146362,-84.283725,231,4,100.491,,,,,,,,,,,25.503,,,,,70.885,,,,,,,,,,159.667,
106,56573008010478,1997,33.077852,-84.26968,231,6,160.69,,,137.517,,,,,135.925,,,,,146.764,,,,,119.058,,,,,131.166,,,,
107,56573088010478,1997,33.090439,-84.483008,231,6,98.358,,,,,,157.963,,,,,169.382,,,,,174.162,,,,,180.453,,,,,203.808,
108,56573229010478,1997,33.08462,-84.337197,231,2,47.626,,60.139,,,,,,,,,,,,,,,,,,,,,,,,,
109,56573328010478,1997,33.182135,-84.289789,231,2,93.922,98.304,,,,,,,,,,,,,,,,,,,,,,,,,,
110,56573426010478,1997,34.05,-85.38,233,4,32.827,43.849,,,,,,,,,,,,84.985,,,,,129.804,,,,,,,,,
111,56573556010478,1997,34.035208,-85.400886,233,2,140.213,,146.437,,,,,,,,,,,,,,,,,,,,,,,,,
112,56573637010478,1997,34.005317,-85.359585,233,4,57.901,,,,98.713,,,,,,,,,,6.281,,,,,31.149,,,,,,,,
113,56573851010478,1997,33.939789,-85.311421,233,5,123.297,119.96,,,,,,,,,,,168.578,,,,,,,,,,42.901,,,,,61.498
114,56574054010478,1997,34.044787,-85.332836,233,6,48.689,,,,50.128,,,,,37.683,,,,,44.455,,,,,53.427,,,,,68.643,,,
115,56574150010478,1997,34.041403,-84.949348,233,6,45.192,,,,,,,99.568,,,,,118.321,,,,,153.574,,,,,190.395,,,,,251.602
116,56574291010478,1997,33.979154,-85.204948,233,4,84.675,89.543,,,,,,,,,,,,,,,,,,,192.84,,,,,205.777,,
117,56574509010478,1997,33.955105,-85.103093,233,5,193.046,202.676,,,,,,,,239.636,,,,,242.371,,,,,,,,,,118.047,,,
118,56574608010478,1997,33.96684,-85.060328,233,6,102.614,,,,,119.169,,,,,132.899,,,,,130.829,,,,,119.397,,,,,130.657,,
119,56574706010478,1997,34.022515,-85.052829,233,6,21.908,,,,26.45,,,,,30.577,,,,,31.272,,,,,39.753,,,,,48.742,,,
120,56574832010478,1997,33.963175,-84.994593,233,6,213.444,,223.442,,,,,,,,,,250.435,,,,,216.87,,,,,252.963,,,,,302.555
121,56575051010478,1997,33.915972,-85.139099,233,6,156.306,,,170.072,,,,,199.107,,,,,216.406,,,,,237.404,,,,,259.676,,,,
122,56575312010478,1997,34.059705,-85.093851,233,3,2.924,4.7,,,,,,,45.859,,,,,,,,,,,,,,,,,,,
123,56575630010478,1997,32.14074,-83.55467,235,6,151.268,,,173.668,,,,,179.972,,,,,191.356,,,,,177.348,,,,,191.571,,,,
124,56575750010478,1997,32.233067,-83.518888,235,6,141.846,130.038,,,,,,,,116.037,,,,,112.793,,,,,124.312,,,,,134.457,,,
125,56575939010478,1997,32.289877,-83.530343,235,4,131.279,,,,,,,,,,,91.776,,,,,124.354,,,,,,,,,,162.888,
126,56576045010478,1997,32.154039,-83.490293,235,3,88.999,,,,,,55.546,,,,,86.548,,,,,,,,,,,,,,,,
127,56576139010478,1997,32.187816,-83.484648,235,4,0.3,,,,,1.955,,,,,3.453,,,,,,,,,,27.461,,,,,,,
128,56576230010478,1997,32.318382,-83.450757,235,4,141.236,,,,,,,,,47.029,,,,,,,,,,50.323,,,,,63.539,,,
129,56576382010478,1997,32.259033,-83.406791,235,2,191.315,70.24,,,,,,,,,,,,,,,,,,,,,,,,,,
130,56576507010478,1997,32.173557,-83.397182,235,5,5.967,,,,18.621,,,,,30.095,,,,,44.629,,,,,,,,,,50.448,,,
131,56576816010478,1997,33.36114,-83.522947,237,5,67.907,71.376,,,,,,,122.219,,,,,,,,,,55.136,,,,,68.29,,,,
132,56576957010478,1997,33.241105,-83.487841,237,6,46.469,,,,,,66.404,,,,,70.445,,,,,86.995,,,,,47.473,,,,,73.806,
133,56577155010478,1997,33.382872,-83.489339,237,5,107.72,,,,,129.85,,,,,145.062,,,,,181.898,,,,,,,,,,56.485,,
134,56577226010478,1997,33.414941,-83.458832,237,2,96.167,97.922,,,,,,,,,,,,,,,,,,,,,,,,,,
135,56577440010478,1997,33.350961,-83.432798,237,5,188.172,,,,,,,,,,,,234.824,,,,,228.722,,,,,181.968,,,,,178.727
136,56577527010478,1997,33.31944,-83.44853,237,4,125.853,142.0,,,,,,,,,,,,,,,,,,,,63.619,,,,,102.48,
137,56577650010478,1997,33.399658,-83.424655,237,5,87.399,,126.791,,,,,,,,,,,,,,156.13,,,,,198.155,,,,,244.071,
138,56577826010478,1997,33.264032,-83.37245,237,5,29.621,,39.716,,,,,,,,,,,,,,61.817,,,,,91.455,,,,,111.366,
139,56578132010478,1997,33.198837,-83.316395,237,3,53.045,,61.316,,,,,,,,,,,,,,,93.419,,,,,,,,,,
140,56578245010478,1997,33.251056,-83.300545,237,2,40.693,46.552,,,,,,,,,,,,,,,,,,,,,,,,,,
141,56578331010478,1997,33.300194,-83.290998,237,6,54.174,59.7,,,,,,,74.641,,,,,94.834,,,,,130.218,,,,,135.749,,,,
142,56578513010478,1997,33.298393,-83.240065,237,3,83.085,,107.505,,,,,,,,,,,,,,,,,,75.055,,,,,,,
143,56578586010478,1997,33.356718,-83.216827,237,3,42.08,54.478,,,,,,,,,,,,,79.693,,,,,,,,,,,,,
144,56579067010478,1997,33.259982,-83.457142,237,3,78.332,,,,,,,,,,,,,,,,,39.452,,,,,,,,,,147.828
145,56579572010478,1997,31.781278,-84.915753,239,5,26.929,,,,,,71.702,,,,,99.927,,,,,,,,,,93.218,,,,,131.264,
146,56579662010478,1997,31.927655,-85.084013,239,4,135.256,,172.867,,,,,,,,,,,,,197.98,,,,,,,,,,268.638,,
147,56579784010478,1997,31.84546,-85.075187,239,3,144.882,155.137,,,,,,,,,,,,,,,,,,,,,,,,,174.127,
148,56579938010478,1997,31.792702,-85.060992,239,4,36.405,,,,,,,109.977,,,,,150.494,,,,,190.011,,,,,,,,,,
149,56580027010478,1997,31.893003,-85.01412,239,4,159.514,,,,,,,,146.808,,,,,156.086,,,,,179.871,,,,,,,,,
150,56580158010478,1997,31.949349,-84.998425,239,5,207.4,,,,,,,252.164,,,,,,,,,,20.112,,,,,39.973,,,,,91.063
151,56580264010478,1997,31.856286,-85.000894,239,6,110.507,,111.142,,,,,,,135.667,,,,,150.618,,,,,152.943,,,,,154.541,,,
152,56580377010478,1997,31.816587,-84.975322,239,4,32.431,40.473,,,,,,,,,111.223,,,,,,,,,,70.72,,,,,,,
153,56580729010478,1997,34.868552,-83.650076,241,6,156.166,163.736,,,,,,,,176.43,,,,,189.869,,,,,210.761,,,,,235.796,,,
154,56580817010478,1997,34.833738,-83.580345,241,6,161.561,,174.56,,,,,,,,,,179.694,,,,,195.09,,,,,174.177,,,,,199.434
155,56581024010478,1997,34.882824,-83.599907,241,6,202.219,,,,,,226.893,,,,,242.45,,,,,265.163,,,,,291.408,,,,,329.186,
156,56581116010478,1997,34.939261,-83.57768,241,6,147.04,,,,,,169.187,,,,,174.578,,,,,203.859,,,,,204.775,,,,,163.78,
157,56581238010478,1997,34.917378,-83.525202,241,6,141.5,,,150.919,,,,,156.268,,,,,169.113,,,,,181.807,,,,,195.241,,,,
158,56581327010478,1997,34.775116,-83.532084,241,6,100.919,,111.729,,,,,,,,116.619,,,,,143.823,,,,,182.063,,,,,211.892,,
159,56581533010478,1997,34.820429,-83.526119,241,5,173.446,171.188,,,,,,,,,,,,,118.359,,,,,114.836,,,,,132.405,,,
160,56581744010478,1997,34.829402,-83.457701,241,6,97.332,,,,,,,96.323,,,,,76.437,,,,,88.036,,,,,102.711,,,,,112.013
161,56581834010478,1997,34.781667,-83.444228,241,6,172.914,,,195.467,,,,,199.733,,,,,130.398,,,,,142.884,,,,,176.205,,,,
162,56581937010478,1997,34.898827,-83.4077,241,2,233.727,,242.884,,,,,,,,,,,,,,,,,,,,,,,,,
163,56582092010478,1997,34.945938,-83.436339,241,6,66.465,,70.764,,,,,,,,,106.767,,,,,129.473,,,,,173.04,,,,,208.409,
164,56582174010478,1997,34.981774,-83.455517,241,6,180.336,,,,,187.85,,,,,204.934,,,,,224.161,,,,,222.36,,,,,247.479,,
165,56582288010478,1997,34.900436,-83.253866,241,6,94.049,,,,,,,118.833,,,,,119.927,,,,,133.332,,,,,138.805,,,,,122.21
166,56582368010478,1997,34.743603,-83.384515,241,6,112.03,,112.406,,,,,,,,118.394,,,,,136.267,,,,,146.159,,,,,168.589,,
167,56582482010478,1997,34.796266,-83.358746,241,6,123.581,148.076,,,,,,,,,,154.083,,,,,114.958,,,,,85.803,,,,,97.794,
168,56582560010478,1997,34.877377,-83.363173,241,6,142.842,,146.934,,,,,,,160.323,,,,,183.468,,,,,182.285,,,,,208.257,,,
169,56582651010478,1997,34.935838,-83.363089,241,6,162.517,,,160.89,,,,,162.877,,,,,184.845,,,,,195.158,,,,,221.682,,,,
170,56582748010478,1997,34.983281,-83.315762,241,6,217.249,,,,243.815,,,,,262.967,,,,,243.959,,,,,250.917,,,,,250.368,,,
171,56582836010478,1997,34.870716,-83.306247,241,6,144.566,,,,,,178.783,,,,,188.278,,,,,208.478,,,,,215.854,,,,,247.161,
172,56582953010478,1997,34.955192,-83.288738,241,6,222.622,223.988,,,,,,,,,,161.125,,,,,177.404,,,,,187.321,,,,,199.907,
173,56583050010478,1997,34.97398,-83.243743,241,6,278.865,,303.537,,,,,,,,,,309.248,,,,,348.719,,,,,339.608,,,,,364.3
174,56583152010478,1997,34.938495,-83.223736,241,6,120.213,,,130.292,,,,,110.063,,,,,121.389,,,,,146.611,,,,,166.571,,,,
175,56583240010478,1997,34.882148,-83.501805,241,6,163.249,,,,153.656,,,,,160.85,,,,,163.334,,,,,165.478,,,,,184.968,,,
176,56583341010478,1997,34.825662,-83.348818,241,6,257.446,,,,,306.72,,,,,313.855,,,,,271.686,,,,,297.807,,,,,319.675,,
177,56583443010478,1997,34.916485,-83.275948,241,6,282.158,,295.1,,,,,,,,,,323.261,,,,,326.61,,,,,355.586,,,,,361.376
178,56583526010478,1997,31.901093,-84.905817,243,6,185.648,199.876,,,,,,,,,,182.346,,,,,208.894,,,,,224.053,,,,,253.643,
179,56583871010478,1997,31.889768,-84.851899,243,3,82.876,,,,,,,,7.032,,,,,56.422,,,,,,,,,,,,,,
180,56584211010478,1997,31.791175,-84.850629,243,6,73.354,,,,,117.701,,,,,126.503,,,,,142.385,,,,,156.655,,,,,139.831,,
181,56584450010478,1997,31.627594,-84.863055,243,5,104.266,,,,,160.477,,,,,178.496,,,,,206.431,,,,,,,,,,80.213,,
182,56584586010478,1997,31.717798,-84.83062,243,2,4.408,,5.306,,,,,,,,,,,,,,,,,,,,,,,,,
183,56584643010478,1997,31.640825,-84.779854,243,3,26.826,47.445,,,,,,,,,,,,,,120.306,,,,,,,,,,,,
184,56584727010478,1997,31.747158,-84.83617,243,3,57.125,,,,,,,,,,,,,,,,,,,,,49.599,,,,,99.794,
185,56584913010478,1997,31.750113,-84.759585,243,3,124.898,,,189.457,,,,,,,,,,172.104,,,,,,,,,,,,,,
186,56585078010478,1997,31.858904,-84.854033,243,4,47.035,,,,,,,,,,,,,,39.35,,,,,50.072,,,,,61.755,,,
187,56585214010478,1997,31.881388,-84.786331,243,3,70.603,,,,,,,,,110.325,,,,,,,,,,,,,,,28.995,,,
188,56585346010478,1997,31.908102,-84.722315,243,6,196.336,,,,,,204.677,,,,,235.072,,,,,247.334,,,,,256.593,,,,,230.104,
189,56585506010478,1997,31.808926,-84.693757,243,6,176.552,193.216,,,,,,,,,232.643,,,,,228.274,,,,,226.06,,,,,278.453,,
190,56585812010478,1997,31.678463,-84.651185,243,5,119.623,123.665,,,,,,,151.082,,,,,158.925,,,,,167.737,,,,,,,,,
191,56585983010478,1997,31.792032,-84.627477,243,4,102.728,,,,,,,,,,,,76.467,,,,,,,,,,1.764,,,,,8.026
192,56586053010478,1997,31.82954,-84.636684,243,2,149.725,,165.109,,,,,,,,,,,,,,,,,,,,,,,,,
193,56586367010478,1997,31.719373,-84.763887,243,3,14.594,,,,,,,,,75.55,,,,,,,,,,45.652,,,,,,,,
194,56586493010478,1997,31.912506,-84.790905,243,4,15.051,,,,42.163,,,,,,,,,,46.293,,,,,,,,,,9.558,,,
195,56586598010478,1997,33.293616,-82.273008,245,4,82.581,,,,,,,,,,,,,,,,26.559,,,,,48.125,,,,,74.611,
196,56586860010478,1997,33.368992,-82.191267,245,5,23.53,25.034,,,,,,,33.337,,,,,,,,,,25.001,,,,,33.394,,,,
