Year,EcoregionName,SpeciesCode,ProbEstablish,ProbMortality,ANPPmax,BiomassMax
0,56,WALN,0.50,0.0,1050,26000
0,56,WAS,0.65,0.0,1100,30000
0,56,WO,0.85,0.0,1300,36000
0,56,YP,0.45,0.0,1400,36000
0,71,AE,0.55,0.0,1100,26000
0,71,BAS,0.40,0.0,950,22000
0,71,BE,0.65,0.0,1350,36000
0,71,BLACKGUM,0.75,0.0,1100,26000
0,71,BO,0.85,0.0,1400,40000
0,71,BSW,0.65,0.0,1300,36000
0,71,COTT,0.55,0.0,1938,56700
0,71,DOGWOOD,0.65,0.0,500,8000
0,71,EWP,0.65,0.0,1300,38000
0,71,MOK_HK,0.85,0.0,1300,38000
0,71,NRO,0.95,0.0,1450,42000
0,71,POST,0.75,0.0,1250,34000
0,71,QA,0.30,0.0,850,16000
0,71,RM,0.85,0.0,1250,32000
0,71,SASSAFRAS,0.65,0.0,800,16000
0,71,SHA_HK,0.85,0.0,1300,38000
0,71,SHO,0.85,0.0,1300,38000
0,71,SIM,0.70,0.0,1475,40000
0,71,SM,0.85,0.0,1400,38000
0,71,SWEETGUM,0.65,0.0,1550,38000
0,71,SYC,0.75,0.0,1550,42000
0,71,WALN,0.65,0.0,1300,34000
0,71,WAS,0.65,0.0,1250,32000
0,71,WO,0.95,0.0,1500,44000
0,71,YP,0.75,0.0,1700,46000
0,72,AE,0.60,0.0,1150,28000
0,72,BAS,0.50,0.0,950,24000
0,72,BE,0.55,0.0,1250,32000
0,72,BLACKGUM,0.75,0.0,1100,26000
0,72,BO,0.80,0.0,1300,36000
0,72,BSW,0.65,0.0,1250,34000
0,72,COTT,0.55,0.0,2062,59400
0,72,DOGWOOD,0.65,0.0,500,8000
0,72,EWP,0.55,0.0,1200,34000
0,72,MOK_HK,0.75,0.0,1200,32000
0,72,NRO,0.85,0.0,1350,38000
0,72,POST,0.70,0.0,1150,32000
0,72,QA,0.25,0.0,800,14000
0,72,RM,0.85,0.0,1200,30000
0,72,SASSAFRAS,0.65,0.0,800,16000
0,72,SHA_HK,0.75,0.0,1200,32000
0,72,SHO,0.80,0.0,1250,34000
0,72,SIM,0.70,0.0,1416,37500
0,72,SM,0.75,0.0,1300,34000
0,72,SWEETGUM,0.75,0.0,1600,40000
0,72,SYC,0.85,0.0,1650,44000
0,72,WALN,0.65,0.0,1250,32000
0,72,WAS,0.65,0.0,1200,30000
0,72,WO,0.85,0.0,1400,40000
0,72,YP,0.75,0.0,1650,44000
